ticker_yf,ticker_display,name,market,sector,price,currency,market_cap,ocf,revenue_growth,earnings_growth,ttm_ocf,ttm_net_income,ttm_depreciation,pcf,cf_method,revenue_trend,cf_trend,pcf_display,market_cap_b,pcf_color
ADS.DE,ADS.DE,Adidas,Europe,Consumer Cyclical,143.9,EUR,25191548288.100002,751000000.0,0.133,-0.024,751000000.0,1380999936,1032000000.0,33.54400570985353,OCF,Uptrend ↗,Flat ➡,33.5x,25.1915482881,33.54400570985353
ADYEN.AS,ADYEN.AS,Adyen,Europe,Technology,951.5,EUR,30035693165.5,1030422000.0,0.189,0.129,1030422000.0,1125625984,132717000.0,29.14892458187034,OCF,Uptrend ↗,Uptrend ↗,29.1x,30.0356931655,29.14892458187034
AD.AS,AD.AS,Ahold Delhaize,Europe,Consumer Defensive,31.79,EUR,27776893948.21,6989000000.0,0.003,-0.002,6989000000.0,2238000128,3073000000.0,3.9743731504092144,OCF,Flat ➡,Flat ➡,4.0x,27.77689394821,3.9743731504092144
AI.PA,AI.PA,Air Liquide,Europe,Basic Materials,166.88,EUR,106496804148.0,6518400000.0,0.008,0.007,6518400000.0,3539399936,2563500000.0,16.337874961340205,OCF,Flat ➡,Flat ➡,16.3x,106.496804148,16.337874961340205
AIR.PA,AIR.PA,Airbus,Europe,Industrials,195.0,EUR,154338695355.0,7995000000.0,0.277,1.258,7995000000.0,5938999808,3133000000.0,19.304402170731706,OCF,Uptrend ↗,Uptrend ↗,19.3x,154.338695355,19.304402170731706
ALV.DE,ALV.DE,Allianz,Europe,Financial Services,444.5,EUR,168592747015.0,33209000000.0,0.121,-0.08,33209000000.0,11612000256,2178000000.0,5.076718570718781,OCF,Uptrend ↗,Downtrend ↘,5.1x,168.592747015,5.076718570718781
ABI.BR,ABI.BR,Anheuser-Busch InBev,Europe,Consumer Defensive,69.02,EUR,135909273641.12,14883000000.0,0.11,1.249,14883000000.0,9326999552,5652000000.0,9.131846646584693,OCF,Uptrend ↗,Uptrend ↗,9.1x,135.90927364112,9.131846646584693
ARGX.BR,ARGX.BR,Argenx,Europe,Healthcare,867.8,EUR,53966547673.799995,685192000.0,0.593,0.952,685192000.0,1715035008,13244000.0,78.76120514220831,OCF,Uptrend ↗,Uptrend ↗,78.8x,53.966547673799994,78.76120514220831
ASML.AS,ASML.AS,ASML Holding,Europe,Technology,1387.8,EUR,533053980000.0,,0.213,0.285,,10638399488,1025900000.0,,OCF,Uptrend ↗,Uptrend ↗,N/A,533.05398,
CS.PA,CS.PA,Axa,Europe,Financial Services,43.67,EUR,91309677501.02,22352000000.0,0.045,0.132,22352000000.0,7654000128,-735000000.0,4.0850786283563,OCF,Flat ➡,Uptrend ↗,4.1x,91.30967750102,4.0850786283563
BAS.DE,BAS.DE,BASF,Europe,Basic Materials,52.38,EUR,45095089279.14,5610000000.0,0.164,52.989,5610000000.0,2091000064,4166000000.0,8.038340334962566,OCF,Uptrend ↗,Uptrend ↗,8.0x,45.09508927914,8.038340334962566
BAYN.DE,BAYN.DE,Bayer,Europe,Healthcare,49.33,EUR,48462979965.06,5930000000.0,0.012,0.0,5930000000.0,-1738000000,2785000000.0,8.17250926898145,OCF,Flat ➡,Flat ➡,8.2x,48.46297996506,8.17250926898145
BBVA.MC,BBVA.MC,BBVA,Europe,Financial Services,25.08,EUR,138399096848.75998,14968000000.0,0.202,0.152,14968000000.0,10718000128,946000000.0,9.24633196477552,OCF,Uptrend ↗,Uptrend ↗,9.2x,138.39909684875997,9.24633196477552
SAN.MC,SAN.MC,Banco Santander,Europe,Financial Services,12.772,EUR,185377987173.72,-14835000000.0,0.102,0.087,-14835000000.0,12899999744,3178000000.0,-12.49598835009909,OCF,Uptrend ↗,Uptrend ↗,-12.5x,185.37798717372002,-12.49598835009909
BMW.DE,BMW.DE,BMW,Europe,Consumer Cyclical,62.72,EUR,37542655987.2,8228000000.0,-0.079,-0.279,8228000000.0,6303000064,5388000000.0,4.5627924145843455,OCF,Downtrend ↘,Downtrend ↘,4.6x,37.5426559872,4.5627924145843455
BNP.PA,BNP.PA,BNP Paribas,Europe,Financial Services,102.8,EUR,112668800000.0,46571000000.0,0.188,0.374,46571000000.0,12766999552,8055000000.0,2.419290975070323,OCF,Uptrend ↗,Uptrend ↗,2.4x,112.6688,2.419290975070323
BN.PA,BN.PA,Danone,Europe,Consumer Defensive,62.28,EUR,40114204837.2,3779000000.0,0.014,0.124,3779000000.0,1944999936,1355000000.0,10.61503171135221,OCF,Flat ➡,Uptrend ↗,10.6x,40.1142048372,10.61503171135221
DBK.DE,DBK.DE,Deutsche Bank,Europe,Financial Services,34.15,EUR,64167850000.0,47064000000.0,0.087,0.188,47064000000.0,6090999808,,1.3634168366479686,OCF,Uptrend ↗,Uptrend ↗,1.4x,64.16785,1.3634168366479686
DB1.DE,DB1.DE,Deutsche Börse,Europe,Financial Services,282.0,EUR,50841120120.0,2810000000.0,0.117,0.137,2810000000.0,2115000064,501000000.0,18.092925309608543,OCF,Uptrend ↗,Uptrend ↗,18.1x,50.84112012,18.092925309608543
DHL.DE,DHL.DE,Deutsche Post,Europe,Industrials,55.84,EUR,61982400000.0,9119000000.0,0.128,0.286,9119000000.0,3716999936,4560000000.0,6.79706108125891,OCF,Uptrend ↗,Uptrend ↗,6.8x,61.9824,6.79706108125891
DTE.DE,DTE.DE,Deutsche Telekom,Europe,Communication Services,28.93,EUR,138360914937.52,40627000000.0,0.043,-0.05,40627000000.0,8641999872,17148000000.0,3.4056394746725083,OCF,Flat ➡,Flat ➡,3.4x,138.36091493752,3.4056394746725083
ENEL.MI,ENEL.MI,Enel,Europe,Utilities,8.742,EUR,86726441663.268,13926000000.0,0.085,0.318,13926000000.0,4256000000,9478000000.0,6.22766348292891,OCF,Uptrend ↗,Uptrend ↗,6.2x,86.726441663268,6.22766348292891
ENI.MI,ENI.MI,Eni,Europe,Energy,24.01,EUR,69027378692.86,13330000000.0,0.185,5.806,13330000000.0,5784999936,7349000000.0,5.1783479889617405,OCF,Uptrend ↗,Uptrend ↗,5.2x,69.02737869286,5.1783479889617405
EL.PA,EL.PA,EssilorLuxottica,Europe,Healthcare,147.7,EUR,67754213481.49999,5291000000.0,0.057,0.123,5291000000.0,2494000128,1830000000.0,12.805559153562653,OCF,Uptrend ↗,Uptrend ↗,12.8x,67.75421348149999,12.805559153562653
RACE.MI,RACE.MI,Ferrari,Europe,Consumer Cyclical,352.15,EUR,61856009563.2,2349306000.0,0.084,0.101,2349306000.0,1636115968,298734000.0,26.32948179726268,OCF,Uptrend ↗,Uptrend ↗,26.3x,61.8560095632,26.32948179726268
RMS.PA,RMS.PA,Hermès,Europe,Consumer Cyclical,1414.0,EUR,148104745418.0,5374000000.0,0.016,-0.003,5374000000.0,4515999744,926000000.0,27.55949858913286,OCF,Flat ➡,Flat ➡,27.6x,148.104745418,27.55949858913286
IBE.MC,IBE.MC,Iberdrola,Europe,Utilities,19.715,EUR,131560984987.94,11635000000.0,0.098,0.683,11635000000.0,5575000064,6493000000.0,11.307347227154276,OCF,Uptrend ↗,Uptrend ↗,11.3x,131.56098498794,11.307347227154276
ITX.MC,ITX.MC,Inditex,Europe,Consumer Cyclical,53.72,EUR,167338294761.19998,9232000000.0,0.091,0.08,9232000000.0,6408999936,2580000000.0,18.125898479332754,OCF,Uptrend ↗,Uptrend ↗,18.1x,167.3382947612,18.125898479332754
IFX.DE,IFX.DE,Infineon Technologies,Europe,Technology,54.04,EUR,70224961572.36,3217000000.0,0.126,0.396,3217000000.0,1204000000,1370000000.0,21.829332164239975,OCF,Uptrend ↗,Uptrend ↗,21.8x,70.22496157236,21.829332164239975
INGA.AS,INGA.AS,ING Group,Europe,Financial Services,31.92,EUR,90984887189.28,-6380000000.0,0.111,0.221,-6380000000.0,8696999936,665000000.0,-14.26095410490282,OCF,Uptrend ↗,Uptrend ↗,-14.3x,90.98488718928,-14.26095410490282
