ticker_yf,ticker_display,name,market,sector,price,currency,market_cap,ocf,revenue_growth,earnings_growth,ttm_ocf,ttm_net_income,ttm_depreciation,pcf,cf_method,revenue_trend,cf_trend,pcf_display,market_cap_b,pcf_color
7203.T,7203.T,Toyota,Japan,Consumer Cyclical,2965.5,JPY,35114641129440.0,5472920000000.0,0.019,0.232,5472920000000.0,3848098021376,2392519000000.0,6.416070603889697,OCF,Flat ➡,Uptrend ↗,6.4x,35114.64112944,6.416070603889697
6758.T,6758.T,Sony,Japan,Technology,3574.0,JPY,20988179438180.0,1945617000000.0,0.083,-0.574,1945617000000.0,1030893010944,,10.78741573402165,OCF,Uptrend ↗,Downtrend ↘,10.8x,20988.17943818,10.78741573402165
9984.T,9984.T,SoftBank,Japan,Communication Services,5331.0,JPY,30380962250031.0,203580000000.0,0.071,2.594,203580000000.0,4983632166912,866823000000.0,149.23353104445917,OCF,Uptrend ↗,Uptrend ↗,149.2x,30380.962250031,149.23353104445917
6861.T,6861.T,Keyence,Japan,Technology,74170.0,JPY,17988089337120.0,430680000000.0,0.179,0.254,430680000000.0,445184999424,17227000000.0,41.766716209529115,OCF,Uptrend ↗,Uptrend ↗,41.8x,17988.08933712,41.766716209529115
8035.T,8035.T,Tokyo Electron,Japan,Technology,62800.0,JPY,28552095108800.0,539732000000.0,0.086,0.505,539732000000.0,574453972992,80982000000.0,52.90050452594991,OCF,Uptrend ↗,Uptrend ↗,52.9x,28552.0951088,52.90050452594991
6098.T,6098.T,Recruit,Japan,Communication Services,12510.0,JPY,17416063826190.0,610363000000.0,0.115,0.611,610363000000.0,496912007168,109237000000.0,28.53394426954124,OCF,Uptrend ↗,Uptrend ↗,28.5x,17416.06382619,28.53394426954124
9432.T,9432.T,NTT,Japan,Communication Services,154.3000030517578,JPY,12563665525808.182,1485190000000.0,0.091,-0.244,1485190000000.0,1037032030208,1790983000000.0,8.459298490972994,OCF,Uptrend ↗,Downtrend ↘,8.5x,12563.665525808181,8.459298490972994
4502.T,4502.T,Takeda,Japan,Healthcare,5769.0,JPY,9211659051591.0,1041431000000.0,0.039,0.0,1041431000000.0,-152389992448,721127000000.0,8.845193826178594,OCF,Flat ➡,Flat ➡,8.8x,9211.659051591,8.845193826178594
8306.T,8306.T,MUFG,Japan,Financial Services,3799.0,JPY,42840838597108.0,-23064420000000.0,0.0,0.0,-23064420000000.0,1729358987264,410838000000.0,-1.8574427016637747,OCF,Flat ➡,Flat ➡,-1.9x,42840.838597108,-1.8574427016637747
6501.T,6501.T,Hitachi,Japan,Industrials,5023.0,JPY,22525208096314.0,1668061000000.0,0.113,-0.102,1668061000000.0,802367995904,457973000000.0,13.503827555655338,OCF,Uptrend ↗,Downtrend ↘,13.5x,22525.208096314,13.503827555655338
4063.T,4063.T,Shin-Etsu,Japan,Basic Materials,6146.0,JPY,11429684001106.0,712651000000.0,0.054,0.057,712651000000.0,478859984896,242973000000.0,16.03826276972319,OCF,Uptrend ↗,Uptrend ↗,16.0x,11429.684001106,16.03826276972319
6367.T,6367.T,Daikin,Japan,Industrials,24135.0,JPY,6717642256200.0,465848000000.0,0.164,0.023,465848000000.0,275229016064,224835000000.0,14.420244921519465,OCF,Uptrend ↗,Flat ➡,14.4x,6717.6422562,14.420244921519465
7751.T,7751.T,Canon,Japan,Technology,4750.0,JPY,4034359119500.0,475903000000.0,0.033,-0.286,475903000000.0,308125007872,239236000000.0,8.477271879983947,OCF,Flat ➡,Downtrend ↘,8.5x,4034.3591195,8.477271879983947
6954.T,6954.T,Fanuc,Japan,Industrials,6785.0,JPY,6331476683965.0,250896000000.0,0.106,0.11,250896000000.0,166542999552,47782000000.0,25.235462837052005,OCF,Uptrend ↗,Uptrend ↗,25.2x,6331.476683965,25.235462837052005
4519.T,4519.T,Chugai,Japan,Healthcare,6848.0,JPY,11270185407488.0,386280000000.0,0.178,0.197,386280000000.0,471372005376,,29.176207433695765,OCF,Uptrend ↗,Uptrend ↗,29.2x,11270.185407488,29.176207433695765
6981.T,6981.T,Murata,Japan,Technology,8102.0,JPY,14747983730356.0,425222000000.0,0.118,1.412,425222000000.0,233829007360,178212000000.0,34.68302141083011,OCF,Uptrend ↗,Uptrend ↗,34.7x,14747.983730356,34.68302141083011
7267.T,7267.T,Honda,Japan,Consumer Cyclical,1583.0,JPY,6161954838103.0,1135261000000.0,0.086,0.0,1135261000000.0,-423941013504,1303263000000.0,5.427786947761792,OCF,Uptrend ↗,Flat ➡,5.4x,6161.954838103,5.427786947761792
8058.T,8058.T,Mitsubishi Corp,Japan,Industrials,4847.0,JPY,17747284058337.0,1490041000000.0,0.12,0.683,1490041000000.0,800459980800,397777000000.0,11.910601156838638,OCF,Uptrend ↗,Uptrend ↗,11.9x,17747.284058337,11.910601156838638
8001.T,8001.T,Itochu,Japan,Industrials,1984.5,JPY,13871481725367.0,1131837000000.0,0.041,-0.03,1131837000000.0,900282974208,458696000000.0,12.255723858971743,OCF,Flat ➡,Flat ➡,12.3x,13871.481725367,12.255723858971743
2914.T,2914.T,JT,Japan,Consumer Defensive,6531.0,JPY,11594860433352.0,514056000000.0,0.117,0.251,514056000000.0,540890005504,195899000000.0,22.555636804846163,OCF,Uptrend ↗,Uptrend ↗,22.6x,11594.860433352,22.555636804846163
4452.T,4452.T,Kao,Japan,Consumer Defensive,3284.0,JPY,2970843559544.0,201585000000.0,0.06,0.393,201585000000.0,128229998592,88422000000.0,14.737423714780366,OCF,Uptrend ↗,Uptrend ↗,14.7x,2970.843559544,14.737423714780366
9022.T,9022.T,JR Central,Japan,Industrials,4023.0,JPY,3826147807107.0,748185000000.0,0.061,0.181,748185000000.0,552871002112,205935000000.0,5.113906062146394,OCF,Uptrend ↗,Uptrend ↗,5.1x,3826.147807107,5.113906062146394
6702.T,6702.T,Fujitsu,Japan,Technology,3482.0,JPY,6040494506370.0,338130000000.0,0.0,0.0,338130000000.0,303069003776,141227000000.0,17.864414593115075,OCF,Flat ➡,Flat ➡,17.9x,6040.49450637,17.864414593115075
6723.T,6723.T,Renesas,Japan,Technology,3866.0,JPY,7014063433912.0,452857000000.0,0.232,1.585,452857000000.0,-9619999744,188597000000.0,15.488473036547962,OCF,Uptrend ↗,Uptrend ↗,15.5x,7014.063433912,15.488473036547962
8316.T,8316.T,SMFG,Japan,Financial Services,7214.0,JPY,27499773662990.0,-10283139000000.0,0.0,0.0,-10283139000000.0,1137556979712,264838000000.0,-2.6742586736394403,OCF,Flat ➡,Flat ➡,-2.7x,27499.77366299,-2.6742586736394403
9983.T,9983.T,Fast Retailing,Japan,Consumer Cyclical,77370.0,JPY,23741063726880.0,580618000000.0,0.222,0.391,580618000000.0,519987003392,216492000000.0,40.889300240226795,OCF,Uptrend ↗,Uptrend ↗,40.9x,23741.06372688,40.889300240226795
4661.T,4661.T,Oriental Land,Japan,Consumer Cyclical,2831.5,JPY,4642857535911.0,181281000000.0,0.001,-0.214,181281000000.0,121881001984,66545000000.0,25.611385285336024,OCF,Flat ➡,Downtrend ↘,25.6x,4642.857535911,25.611385285336024
6902.T,6902.T,Denso,Japan,Consumer Cyclical,2056.0,JPY,5154469394008.0,511025000000.0,0.091,0.689,511025000000.0,443635007488,378074000000.0,10.086530784223864,OCF,Uptrend ↗,Uptrend ↗,10.1x,5154.469394008,10.086530784223864
8766.T,8766.T,Tokio Marine,Japan,Financial Services,8243.0,JPY,15659794292587.0,1390562000000.0,-0.173,0.0,1390562000000.0,531255001088,176186000000.0,11.261485854343064,OCF,Downtrend ↘,Flat ➡,11.3x,15659.794292587,11.261485854343064
