ticker_yf,ticker_display,name,market,sector,price,currency,market_cap,ocf,revenue_growth,earnings_growth,ttm_ocf,ttm_net_income,ttm_depreciation,pcf,cf_method,revenue_trend,cf_trend,pcf_display,market_cap_b,pcf_color
005930.KS,005930,삼성전자,Korea,Technology,217500.0,KRW,1435137755272500.0,85315148000000.0,0.238,1.622,85315148000000.0,44260954996736.0,43605740000000.0,16.821605411415334,OCF,Uptrend ↗,Uptrend ↗,16.8x,1435137.7552725,16.821605411415334
000660.KS,000660,SK하이닉스,Korea,Technology,1155000.0,KRW,818083059255000.0,53373126000000.0,0.661,0.852,53373126000000.0,42919285227520.0,13099311000000.0,15.32762123123536,OCF,Uptrend ↗,Uptrend ↗,15.3x,818083.059255,15.32762123123536
005935.KS,005935,삼성전자우,Korea,Technology,149000.0,KRW,1372862370686000.0,85315148000000.0,0.238,1.622,85315148000000.0,44260954996736.0,43605740000000.0,16.091660190122393,OCF,Uptrend ↗,Uptrend ↗,16.1x,1372862.370686,16.091660190122393
005380.KS,005380,현대차,Korea,Consumer Cyclical,534000.0,KRW,138998394012000.0,-5991270000000.0,0.0,0.0,-5991270000000.0,9445986795520.0,3744754000000.0,-23.20015522785653,OCF,Flat ➡,Flat ➡,-23.2x,138998.394012,-23.20015522785653
373220.KS,373220,LG에너지솔루션,Korea,Industrials,416000.0,KRW,97344000000000.0,4432277000000.0,0.0,0.0,4432277000000.0,-1072809967616.0,3413557000000.0,21.962526259076316,OCF,Flat ➡,Flat ➡,22.0x,97344.0,21.962526259076316
402340.KS,402340,SK스퀘어,Korea,Technology,690000.0,KRW,90994655970000.0,387202000000.0,1.081,0.0,387202000000.0,8838712393728.0,82838000000.0,235.00564555451678,OCF,Uptrend ↗,Flat ➡,235.0x,90994.65597,235.00564555451678
012450.KS,012450,한화에어로스페이스,Korea,Industrials,1519000.0,KRW,78150708972000.0,4049804576000.0,0.745,-0.601,4049804576000.0,1404962340864.0,494757428000.0,19.2974025055771,OCF,Uptrend ↗,Downtrend ↘,19.3x,78150.708972,19.2974025055771
207940.KS,207940,삼성바이오로직스,Korea,Healthcare,1616000.0,KRW,74806176816000.0,2247807426550.0,0.0,0.0,2247807426550.0,1614330331136.0,368531031160.0,33.27961992314203,OCF,Flat ➡,Flat ➡,33.3x,74806.176816,33.27961992314203
034020.KS,034020,두산에너빌리티,Korea,Industrials,110800.0,KRW,70963540614400.0,751801000000.0,0.059,0.0,751801000000.0,84762001408.0,394115000000.0,94.39138896383484,OCF,Uptrend ↗,Flat ➡,94.4x,70963.5406144,94.39138896383484
000270.KS,000270,기아,Korea,Consumer Cyclical,157900.0,KRW,61368789189700.0,9054140000000.0,0.035,-0.142,9054140000000.0,7560983216128.0,2069854000000.0,6.777981032952881,OCF,Flat ➡,Downtrend ↘,6.8x,61368.7891897,6.777981032952881
105560.KS,105560,KB금융,Korea,Financial Services,162300.0,KRW,58198787280600.0,4020186000000.0,0.318,0.089,4020186000000.0,5630770282496.0,,14.476640454098392,OCF,Uptrend ↗,Uptrend ↗,14.5x,58198.7872806,14.476640454098392
329180.KS,329180,HD현대중공업,Korea,Industrials,493500.0,KRW,51798364537500.0,3510392442000.0,0.296,0.258,3510392442000.0,1415484801024.0,315236000000.0,14.755719023821895,OCF,Uptrend ↗,Uptrend ↗,14.8x,51798.3645375,14.755719023821895
032830.KS,032830,삼성생명,Korea,Financial Services,258000.0,KRW,46330292982000.0,5256261000000.0,0.294,1.87,5256261000000.0,2302836998144.0,231601000000.0,8.814306021333415,OCF,Uptrend ↗,Uptrend ↗,8.8x,46330.292982,8.814306021333415
028260.KS,028260,삼성물산,Korea,Industrials,306000.0,KRW,50072362326000.0,3023741373860.0,0.084,0.68,3023741373860.0,2439114129408.0,1058308842210.0,16.559737138523662,OCF,Uptrend ↗,Uptrend ↗,16.6x,50072.362326,16.559737138523662
009150.KS,009150,삼성전기,Korea,Technology,639000.0,KRW,48274692750000.0,1490090883050.0,0.164,0.157,1490090883050.0,707355672576.0,883549830000.0,32.39714657617977,OCF,Uptrend ↗,Uptrend ↗,32.4x,48274.69275,32.39714657617977
055550.KS,055550,신한지주,Korea,Financial Services,99900.0,KRW,47417970564000.0,4626299000000.0,0.216,0.35,4626299000000.0,4773629132800.0,1280382000000.0,10.249655407918944,OCF,Uptrend ↗,Uptrend ↗,10.2x,47417.970564,10.249655407918944
068270.KS,068270,셀트리온,Korea,Healthcare,209000.0,KRW,45724044388000.0,646050776660.0,0.251,1.287,646050776660.0,1029613355008.0,92775872000.0,70.77469146370734,OCF,Uptrend ↗,Uptrend ↗,70.8x,45724.044388,70.77469146370734
042660.KS,042660,한화오션,Korea,Industrials,131900.0,KRW,40413788965300.0,1314671582300.0,0.021,0.51,1314671582300.0,1227820892160.0,207807000000.0,30.740596746296614,OCF,Flat ➡,Uptrend ↗,30.7x,40413.7889653,30.740596746296614
006800.KS,006800,미래에셋증권,Korea,Financial Services,71300.0,KRW,41388688947300.0,-10250278932210.0,0.793,2.055,-10250278932210.0,1540478992384.0,151002000000.0,-4.037810992366472,OCF,Uptrend ↗,Uptrend ↗,-4.0x,41388.6889473,-4.037810992366472
267260.KS,267260,HD현대일렉트릭,Korea,Industrials,1085000.0,KRW,39052083840000.0,959572657320.0,0.426,0.896,959572657320.0,732605382656.0,65156000000.0,40.69737037846509,OCF,Uptrend ↗,Uptrend ↗,40.7x,39052.08384,40.69737037846509
012330.KS,012330,현대모비스,Korea,Consumer Cyclical,427000.0,KRW,38127103280000.0,4472515000000.0,0.047,-0.394,4472515000000.0,3655626915840.0,1065417000000.0,8.52475693876935,OCF,Flat ➡,Downtrend ↘,8.5x,38127.10328,8.52475693876935
006400.KS,006400,삼성SDI,Korea,Industrials,478500.0,KRW,37654904347500.0,792385760870.0,0.028,0.0,792385760870.0,-939433590784.0,2012238818000.0,47.52092504307093,OCF,Flat ➡,Flat ➡,47.5x,37654.9043475,47.52092504307093
010130.KS,010130,고려아연,Korea,Basic Materials,1694000.0,KRW,30802876104000.0,-628210721950.0,0.398,0.0,-628210721950.0,775018971136.0,350517605000.0,-49.03271311318312,OCF,Uptrend ↗,Flat ➡,-49.0x,30802.876104,-49.03271311318312
035420.KS,035420,NAVER,Korea,Communication Services,218500.0,KRW,32662433170000.0,3095806604670.0,0.107,-0.437,3095806604670.0,1942877765632.0,680038992000.0,10.550540566949168,OCF,Uptrend ↗,Downtrend ↘,10.6x,32662.43317,10.550540566949168
086790.KS,086790,하나금융지주,Korea,Financial Services,122500.0,KRW,33563262215000.0,-1962471000000.0,0.829,0.0,-1962471000000.0,3835905966080.0,1645594000000.0,-17.10255194344273,OCF,Uptrend ↗,Flat ➡,-17.1x,33563.262215,-17.10255194344273
015760.KS,015760,한국전력,Korea,Utilities,45800.0,KRW,29401954726600.0,15876116000000.0,0.007,0.303,15876116000000.0,8544918175744.0,13833788000000.0,1.8519614448899215,OCF,Flat ➡,Uptrend ↗,1.9x,29401.9547266,1.8519614448899215
005490.KS,005490,POSCO홀딩스,Korea,Basic Materials,370000.0,KRW,27979688230000.0,6663655000000.0,-0.054,0.0,6663655000000.0,657654022144.0,3530770000000.0,4.198850065016871,OCF,Downtrend ↘,Flat ➡,4.2x,27979.68823,4.198850065016871
009540.KS,009540,HD한국조선해양,Korea,Industrials,408000.0,KRW,28851569040000.0,4422050644000.0,0.138,0.265,4422050644000.0,2168412438528.0,555809000000.0,6.524477298591518,OCF,Uptrend ↗,Uptrend ↗,6.5x,28851.56904,6.524477298591518
010120.KS,010120,LS ELECTRIC,Korea,Industrials,188600.0,KRW,28043397013000.0,299948385880.0,0.121,0.328,299948385880.0,286623006720.0,116494493960.0,93.49407542476088,OCF,Uptrend ↗,Uptrend ↗,93.5x,28043.397013,93.49407542476088
298040.KS,298040,효성중공업,Korea,Industrials,2990000.0,KRW,27842105590000.0,493009624010.0,0.109,0.922,493009624010.0,519893712896.0,69183000000.0,56.47375676673456,OCF,Uptrend ↗,Uptrend ↗,56.5x,27842.10559,56.47375676673456
042700.KS,042700,한미반도체,Korea,Technology,292000.0,KRW,27697076584000.0,228626759780.0,-0.445,-0.482,228626759780.0,214007545856.0,11306046560.0,121.14538390279417,OCF,Downtrend ↘,Downtrend ↘,121.1x,27697.076584,121.14538390279417
034730.KS,034730,SK,Korea,Industrials,371000.0,KRW,20227663484000.0,6098798000000.0,0.012,0.0,6098798000000.0,381681008640.0,6632112000000.0,3.3166639531265014,OCF,Flat ➡,Flat ➡,3.3x,20227.663484,3.3166639531265014
316140.KS,316140,우리금융지주,Korea,Financial Services,35650.0,KRW,26059937668600.0,-6129300000000.0,0.057,-0.238,-6129300000000.0,2974286872576.0,1163799000000.0,-4.251698834875108,OCF,Uptrend ↗,Downtrend ↘,-4.3x,26059.9376686,-4.251698834875108
010140.KS,010140,삼성중공업,Korea,Industrials,28700.0,KRW,24514116939200.0,1562848761930.0,0.051,0.0,1562848761930.0,545539588096.0,279240792000.0,15.685533710201696,OCF,Uptrend ↗,Flat ➡,15.7x,24514.1169392,15.685533710201696
051910.KS,051910,LG화학,Korea,Basic Materials,357500.0,KRW,27983348250000.0,8233859000000.0,0.0,0.0,8233859000000.0,-2638808875008.0,4694488000000.0,3.39857025120299,OCF,Flat ➡,Flat ➡,3.4x,27983.34825,3.39857025120299
272210.KS,272210,한화시스템,Korea,Industrials,131800.0,KRW,24645711799800.0,78736816770.0,0.498,-0.967,78736816770.0,233806561280.0,141136460000.0,313.0138201013787,OCF,Uptrend ↗,Downtrend ↘,313.0x,24645.7117998,313.0138201013787
064350.KS,064350,현대로템,Korea,Industrials,215000.0,KRW,23465592995000.0,904313494000.0,0.128,0.532,904313494000.0,769947533312.0,39605209000.0,25.94851580861183,OCF,Uptrend ↗,Uptrend ↗,25.9x,23465.592995,25.94851580861183
000810.KS,000810,삼성화재,Korea,Financial Services,490000.0,KRW,20829662840000.0,3127018161730.0,0.049,0.676,3127018161730.0,2018286108672.0,162283000000.0,6.661190233854011,OCF,Flat ➡,Uptrend ↗,6.7x,20829.66284,6.661190233854011
035720.KS,035720,카카오,Korea,Communication Services,50600.0,KRW,22257797199000.0,1404762595720.0,0.09,0.0,1404762595720.0,500366966784.0,582694743000.0,15.844525805865397,OCF,Uptrend ↗,Flat ➡,15.8x,22257.797199,15.844525805865397
000150.KS,000150,두산,Korea,Industrials,1335000.0,KRW,22744569885000.0,981908000000.0,0.094,0.0,981908000000.0,72209719296.0,639090000000.0,23.16364657890556,OCF,Uptrend ↗,Flat ➡,23.2x,22744.569885,23.16364657890556
096770.KS,096770,SK이노베이션,Korea,Energy,126500.0,KRW,21139589696500.0,2283052527000.0,0.0,0.0,2283052527000.0,-2825219735552.0,2865311000000.0,9.259353188986001,OCF,Flat ➡,Flat ➡,9.3x,21139.5896965,9.259353188986001
017670.KS,017670,SK텔레콤,Korea,Communication Services,95900.0,KRW,20425958309400.0,5087285000000.0,-0.041,-0.653,5087285000000.0,388609998848.0,3699890000000.0,4.0151000601303055,OCF,Flat ➡,Downtrend ↘,4.0x,20425.9583094,4.0151000601303055
066570.KS,066570,LG전자,Korea,Technology,126000.0,KRW,22688308062000.0,4280500000000.0,0.048,0.0,4280500000000.0,968125972480.0,3040140000000.0,5.300387352412101,OCF,Flat ➡,Flat ➡,5.3x,22688.308062,5.300387352412101
267250.KS,267250,HD현대,Korea,Energy,259000.0,KRW,18303123370000.0,7384884225000.0,0.096,1.209,7384884225000.0,962697232384.0,1805992000000.0,2.4784577269388404,OCF,Uptrend ↗,Uptrend ↗,2.5x,18303.12337,2.4784577269388404
138040.KS,138040,메리츠금융지주,Korea,Financial Services,118900.0,KRW,19609721969700.0,-6472006707050.0,-0.007,-0.037,-6472006707050.0,2252241633280.0,74103148030.0,-3.0299291792048053,OCF,Flat ➡,Flat ➡,-3.0x,19609.7219697,-3.0299291792048053
011200.KS,011200,HMM,Korea,Industrials,21200.0,KRW,19996644964000.0,3305131000000.0,-0.142,-0.559,3305131000000.0,1872162979840.0,1116014000000.0,6.050182266300489,OCF,Downtrend ↘,Downtrend ↘,6.1x,19996.644964,6.050182266300489
000720.KS,000720,현대건설,Korea,Industrials,179500.0,KRW,20177677211000.0,-748259000000.0,0.112,0.0,-748259000000.0,373147009024.0,189641000000.0,-26.96616707717515,OCF,Uptrend ↗,Flat ➡,-27.0x,20177.677211,-26.96616707717515
