ticker_yf,ticker_display,name,market,sector,price,currency,market_cap,ocf,revenue_growth,earnings_growth,ttm_ocf,ttm_net_income,ttm_depreciation,pcf,cf_method,revenue_trend,cf_trend,pcf_display,market_cap_b,pcf_color
MMM,MMM,3M,USA,Industrials,182.64999389648438,USD,94196696317.33017,2306000000.0,0.025,0.328,2306000000.0,2996999936,1308000000.0,40.84852398843459,OCF,Flat ➡,Uptrend ↗,40.8x,94.19669631733017,40.84852398843459
AOS,AOS,A. O. Smith,USA,Industrials,62.16999816894531,USD,8449435734.55397,616800000.0,-0.007,-0.15,616800000.0,500300000,85100000.0,13.698825769380626,OCF,Flat ➡,Downtrend ↘,13.7x,8.44943573455397,13.698825769380626
ABT,ABT,Abbott Laboratories,USA,Healthcare,111.25,USD,192505141680.0,9566000000.0,0.13,-0.475,9566000000.0,5400999936,1434000000.0,20.1238910390968,OCF,Uptrend ↗,Downtrend ↘,20.1x,192.50514168,20.1238910390968
ABBV,ABBV,AbbVie,USA,Healthcare,249.4600067138672,USD,440825089780.2908,19030000000.0,0.102,2.904,19030000000.0,6270000128,762000000.0,23.16474460222232,OCF,Uptrend ↗,Uptrend ↗,23.2x,440.8250897802908,23.16474460222232
ACN,ACN,Accenture,USA,Technology,176.88999938964844,USD,108246439287.51018,11474399000.0,0.056,0.09,11474399000.0,7789751808,622493000.0,9.43373498581583,OCF,Uptrend ↗,Uptrend ↗,9.4x,108.24643928751017,9.43373498581583
ADBE,ADBE,Adobe Inc.,USA,Technology,264.0199890136719,USD,104947945632.93457,10031000000.0,0.127,0.079,10031000000.0,7229000192,818000000.0,10.462361243438798,OCF,Uptrend ↗,Uptrend ↗,10.5x,104.94794563293458,10.462361243438798
AMD,AMD,Advanced Micro Devices,USA,Technology,514.3900146484375,USD,839728860767.5886,7709000000.0,0.501,1.595,7709000000.0,6469000192,750000000.0,108.92837732099996,OCF,Uptrend ↗,Uptrend ↗,108.9x,839.7288607675886,108.92837732099996
AES,AES,AES Corporation,USA,Utilities,14.729999542236328,USD,10504812786.032307,4306000000.0,0.199,0.0,4306000000.0,1911000064,1457000000.0,2.4395756586233874,OCF,Uptrend ↗,Flat ➡,2.4x,10.504812786032307,2.4395756586233874
AFL,AFL,Aflac,USA,Financial Services,121.44999694824219,USD,60888142012.12167,2555000000.0,-0.01,0.468,2555000000.0,4862000128,,23.83097534721005,OCF,Flat ➡,Uptrend ↗,23.8x,60.888142012121676,23.83097534721005
A,A,Agilent Technologies,USA,Healthcare,148.52999877929688,USD,41949616297.55444,1559000000.0,0.1,0.6,1559000000.0,1414000000,288000000.0,26.908028414082388,OCF,Uptrend ↗,Uptrend ↗,26.9x,41.94961629755444,26.908028414082388
APD,APD,Air Products,USA,Basic Materials,308.9700012207031,USD,68803148475.93292,3256800000.0,0.046,0.0,3256800000.0,-47300000,1526900000.0,21.125997444096328,OCF,Flat ➡,Flat ➡,21.1x,68.80314847593293,21.125997444096328
ABNB,ABNB,Airbnb,USA,Consumer Cyclical,184.05999755859375,USD,110212491167.0409,4646000000.0,0.165,0.334,4646000000.0,2691000064,,23.722017039828,OCF,Uptrend ↗,Uptrend ↗,23.7x,110.2124911670409,23.722017039828
AKAM,AKAM,Akamai Technologies,USA,Technology,124.98999786376953,USD,17963138651.8982,1518765000.0,0.054,-0.268,1518765000.0,410964992,708611000.0,11.827464190903926,OCF,Uptrend ↗,Downtrend ↘,11.8x,17.963138651898202,11.827464190903926
ALB,ALB,Albemarle Corporation,USA,Basic Materials,136.14999389648438,USD,16066387790.30429,1282267000.0,0.311,0.0,1282267000.0,57427000,658678000.0,12.529674233450827,OCF,Uptrend ↗,Flat ➡,12.5x,16.06638779030429,12.529674233450827
ARE,ARE,Alexandria Real Estate Equities,USA,Real Estate,48.13999938964844,USD,8284666529.741379,1414046000.0,-0.119,0.0,1414046000.0,-1030056000,1350478000.0,25.85548598330133,OCF,Downtrend ↘,Flat ➡,25.9x,8.28466652974138,25.85548598330133
